IDx,IDy,Posix,Posiy,accuracy
0,0,-0.8056305437716931,-0.8981874276899344,miss
0,1,-0.801002699575781,-0.8881604319321249,miss
0,2,-0.803316621673737,-0.8735055919784034,miss
0,3,-0.8048592364057077,-0.8549942151947552,miss
0,4,-0.803316621673737,-0.8387967605090628,miss
0,5,-0.8040879290397223,-0.8040879290397223,miss
0,6,-0.803316621673737,-0.7794060933281912,miss
0,7,-0.8040879290397223,-0.7493251060547628,miss
0,8,-0.8002313922097957,-0.7069032009255689,miss
0,9,-0.7986887774778249,-0.673736984188199,miss
0,10,-0.8002313922097957,-0.6397994600848438,miss
0,11,-0.801002699575781,-0.5842653297338989,miss
0,12,-0.801002699575781,-0.5433860393366756,miss
0,13,-0.8002313922097957,-0.5079059005013498,miss
0,14,-0.8025453143077517,-0.4446586964905514,miss
0,15,-0.8017740069417663,-0.3960663324334748,miss
0,16,-0.8017740069417663,-0.3582722715001928,miss
0,17,-0.8002313922097957,-0.2911685306594678,miss
0,18,-0.8025453143077517,-0.2472040107983031,miss
0,19,-0.8002313922097957,-0.2047821056691091,miss
0,20,-0.7971461627458543,-0.1315079059005013,miss
0,21,-0.8002313922097957,-0.0829155418434246,miss
0,22,-0.7948322406478981,-0.0343231777863478,miss
0,23,-0.7932896259159274,0.0404936367142305,miss
0,24,-0.7956035480138836,0.0875433860393366,miss
0,25,-0.8002313922097957,0.1299652911685307,miss
0,26,-0.801002699575781,0.200154261473197,miss
0,27,-0.801002699575781,0.2479753181642885,miss
0,28,-0.803316621673737,0.2965676822213652,miss
0,29,-0.8025453143077517,0.3613575009641341,miss
0,30,-0.8025453143077517,0.4022367913613576,miss
0,31,-0.8017740069417663,0.4516004627844197,miss
0,32,-0.8017740069417663,0.5109911299652912,miss
0,33,-0.8017740069417663,0.5456999614346316,miss
0,34,-0.8048592364057077,0.5804087929039723,miss
0,35,-0.8071731585036637,0.6451986116467412,miss
0,36,-0.8079444658696491,0.6660239105283456,miss
0,37,-0.8087157732356344,0.7076745082915541,miss
0,38,-0.8102583879676051,0.7524103355187042,miss
0,39,-0.8094870806016198,0.7747782491322792,miss
0,40,-0.8110296953335905,0.8118010026995759,miss
0,41,-0.8141149247975318,0.8426532973389895,miss
0,42,-0.8164288468954879,0.861164674122638,miss
0,43,-0.8156575395295025,0.8819899730042422,miss
0,44,-0.8141149247975318,0.8943308908600076,miss
1,0,-0.7956878850102669,-0.9034907597535934,miss
1,1,-0.7926078028747433,-0.8921971252566735,miss
1,2,-0.7926078028747433,-0.8726899383983573,miss
1,3,-0.7956878850102669,-0.8531827515400411,miss
1,4,-0.7963748553798689,-0.8403393752410335,
1,5,-0.7933370976849238,-0.8001129305477132,
1,6,-0.7967250141163185,-0.7730095990965556,
1,7,-0.7922077922077921,-0.745906267645398,
1,8,-0.7910784867306606,-0.7007340485601354,
1,9,-0.7922077922077921,-0.6679841897233201,
1,10,-0.7922077922077921,-0.6408808582721626,
1,11,-0.7944664031620553,-0.5787690570299266,
1,12,-0.7922077922077921,-0.541501976284585,
1,13,-0.7899491812535291,-0.5076228119706381,
1,14,-0.7933370976849238,-0.4387351778656126,
1,15,-0.7922077922077921,-0.3958215697346132,
1,16,-0.7936344969199178,-0.3572895277207392,miss
1,17,-0.7925183185499421,-0.282684149633629,
1,18,-0.794,-0.242,
1,19,-0.7932896259159274,-0.2047821056691091,
1,20,-0.7863478596220594,-0.1268800617045893,
1,21,-0.79,-0.0839999999999999,
1,22,-0.7792607802874744,-0.0359342915811088,miss
1,23,-0.7802874743326489,0.0451745379876795,miss
1,24,-0.78789047435403,0.0821442344774392,
1,25,-0.7917470111839569,0.1276513690705747,
1,26,-0.7932896259159274,0.1962977246432704,
1,27,-0.7940609332819129,0.2456613960663325,
1,28,-0.7948322406478981,0.2950250674893946,
1,29,-0.796,0.3540000000000001,
1,30,-0.7940609332819129,0.4022367913613576,
1,31,-0.7940609332819129,0.4485152333204782,
1,32,-0.7925183185499421,0.5086772078673352,
1,33,-0.7948322406478981,0.5433860393366756,
1,34,-0.7986887774778249,0.5827227150019283,
1,35,-0.7997946611909651,0.6457905544147844,miss
1,36,-0.8018480492813141,0.6642710472279261,miss
1,37,-0.804,0.702,
1,38,-0.804,0.746,
1,39,-0.801002699575781,0.7701504049363672,
1,40,-0.8025453143077517,0.8040879290397223,
1,41,-0.8064018511376784,0.8395680678750481,
1,42,-0.8100616016427105,0.8542094455852156,miss
1,43,-0.8080082135523614,0.8798767967145791,miss
1,44,-0.8025453143077517,0.8943308908600076,miss
2,0,-0.7628336755646817,-0.9024640657084188,miss
2,1,-0.757700205338809,-0.891170431211499,miss
2,2,-0.7605872388481084,-0.8712591756070017,
2,3,-0.7605872388481084,-0.8509316770186335,
2,4,-0.7628458498023716,-0.8362507058159232,
2,5,-0.7594579333709769,-0.8035008469791078,
2,6,-0.7571993224167137,-0.771880293619424,
2,7,-0.7605872388481084,-0.7470355731225297,
2,8,-0.7617165443252399,-0.7029926595143987,
2,9,-0.7594579333709769,-0.6679841897233201,
2,10,-0.7605872388481084,-0.637492941840768,
2,11,-0.7605872388481084,-0.5821569734613212,
2,12,-0.7605872388481084,-0.5437605872388481,
2,13,-0.7594579333709769,-0.5098814229249011,
2,14,-0.7605872388481084,-0.4409937888198758,
2,15,-0.7617165443252399,-0.3969508752117447,
2,16,-0.7605872388481084,-0.3551665725578768,
2,17,-0.766,-0.286,
2,18,-0.764,-0.24,
2,19,-0.766,-0.1999999999999999,
2,20,-0.76,-0.128,
2,21,-0.766,-0.0819999999999999,
2,22,-0.76,-0.036,
2,23,-0.7607802874743327,0.0492813141683778,
2,24,-0.758,0.084,
2,25,-0.762,0.1259999999999999,
2,26,-0.768,0.1999999999999999,
2,27,-0.768,0.25,
2,28,-0.768,0.294,
2,29,-0.768,0.3580000000000001,
2,30,-0.77,0.4019999999999999,
2,31,-0.772,0.4499999999999999,
2,32,-0.77,0.512,
2,33,-0.766,0.54,
2,34,-0.77,0.5860000000000001,
2,35,-0.7700205338809035,0.6457905544147844,
2,36,-0.774,0.6699999999999999,
2,37,-0.778,0.708,
2,38,-0.776,0.752,
2,39,-0.78,0.778,
2,40,-0.78,0.808,
2,41,-0.782,0.8440000000000001,
2,42,-0.786,0.8580000000000001,
2,43,-0.782,0.8879999999999999,
2,44,-0.7802874743326489,0.9014373716632444,miss
3,0,-0.74435318275154,-0.9014373716632444,miss
3,1,-0.7412731006160165,-0.8921971252566735,miss
3,2,-0.74435318275154,-0.8726899383983573,miss
3,3,-0.7413890457368718,-0.8565782044042913,
3,4,-0.7392197125256674,-0.8418891170431211,miss
3,5,-0.74,-0.802,
3,6,-0.74,-0.778,
3,7,-0.7368718238283456,-0.7492941840767928,
3,8,-0.7391304347826086,-0.7018633540372671,
3,9,-0.7391304347826086,-0.6679841897233201,
3,10,-0.7346132128740824,-0.6363636363636364,
3,11,-0.7334839073969508,-0.5844155844155844,
3,12,-0.7323546019198193,-0.5426312817617165,
3,13,-0.7368718238283456,-0.5098814229249011,
3,14,-0.7334839073969508,-0.4421230942970073,
3,15,-0.7346132128740824,-0.3969508752117447,
3,16,-0.7357425183512141,-0.35742518351214,
3,17,-0.74,-0.286,
3,18,-0.738,-0.238,
3,19,-0.736,-0.1979999999999999,
3,20,-0.736,-0.12,
3,21,-0.738,-0.0799999999999999,
3,22,-0.74,-0.036,
3,23,-0.7340862422997947,0.0451745379876795,miss
3,24,-0.74,0.086,
3,25,-0.738,0.1319999999999999,
3,26,-0.742,0.1999999999999999,
3,27,-0.744,0.248,
3,28,-0.744,0.294,
3,29,-0.742,0.3580000000000001,
3,30,-0.744,0.4019999999999999,
3,31,-0.744,0.4519999999999999,
3,32,-0.744,0.514,
3,33,-0.744,0.548,
3,34,-0.742,0.5940000000000001,
3,35,-0.7422997946611909,0.6447638603696098,
3,36,-0.746,0.6719999999999999,
3,37,-0.748,0.712,
3,38,-0.7453798767967146,0.7494866529774127,
3,39,-0.7484599589322383,0.7751540041067762,miss
3,40,-0.754,0.8140000000000001,
3,41,-0.7494866529774127,0.8449691991786448,
3,42,-0.7525667351129364,0.8634496919917864,miss
3,43,-0.7494866529774127,0.8891170431211499,miss
3,44,-0.7546201232032854,0.9014373716632444,miss
4,0,-0.7227926078028748,-0.908624229979466,miss
4,1,-0.7165443252399775,-0.8949745906267645,
4,2,-0.718,-0.878,
4,3,-0.72,-0.854,
4,4,-0.72,-0.84,
4,5,-0.718,-0.808,
4,6,-0.716,-0.776,
4,7,-0.718,-0.75,
4,8,-0.716,-0.702,
4,9,-0.718,-0.6679999999999999,
4,10,-0.714,-0.638,
4,11,-0.714,-0.5840000000000001,
4,12,-0.71,-0.542,
4,13,-0.714,-0.514,
4,14,-0.714,-0.4419999999999999,
4,15,-0.716,-0.4,
4,16,-0.714,-0.358,
4,17,-0.714,-0.284,
